player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kevin Ellison,46555,QB,GA SOUTHRN,12,154,31,15,35.0,393,0,942,0,0,26,322,35.3,40,1,174,7,48,43.8,70.8,66.2,68.2,,,66.1,60.1,52,2,0,0,0,457,180,15,0,154,12,1122,416,2.46,6.6,,0
Tyler Murphy,9912,QB,BOSTON COL,13,134,33,19,48.9,656,0,1027,1,0,18,406,40.7,43,0,121,9,38,64.0,76.4,73.9,67.6,,28.1,76.2,60.0,71,2,0,0,2,571,315,35,1,134,11,1342,543,3.21,7.9,0.0,0
Akeem Hunt,9839,HB,PURDUE,12,169,34,16,53.2,497,0,935,6,5,34,566,60.2,23,0,273,1,39,74.2,68.7,59.4,60.0,15.6,54.2,77.5,63.4,82,1,306,48,308,257,0,0,65,217,6,935,566,3.35,5.5,0.99,0
D.J. Vinson,17526,HB,UAB,12,168,30,8,27.2,185,1,680,1,1,30,409,41.5,15,0,321,1,63,82.0,64.5,6.4,,44.0,54.9,67.3,48.6,42,2,57,14,90,204,0,0,16,182,9,680,409,2.43,4.0,0.63,0
Elijah McGuire,11943,HB,LA LAFAYET,13,167,49,18,50.4,629,0,1248,2,16,49,701,127.5,30,0,207,0,42,90.5,84.9,88.2,92.5,35.3,91.2,78.9,69.4,75,0,483,47,177,224,0,0,57,214,14,1248,701,4.2,7.5,2.73,0
Cody Fajardo,9976,QB,NEVADA,13,136,24,16,41.8,492,0,957,0,0,18,368,35.8,42,1,239,2,12,77.4,75.6,90.1,70.9,,,70.1,60.0,60,0,0,0,0,512,220,31,0,136,13,1177,488,2.92,7.0,,0
Matt Jones,9528,HB,FLORIDA,11,166,29,12,34.1,279,0,817,0,0,29,454,44.8,22,1,163,3,53,62.2,68.4,84.7,,55.3,50.6,69.1,71.0,44,1,65,11,108,225,0,0,19,177,6,817,454,2.73,4.9,0.6,0
Drew Hare,46600,QB,N ILLINOIS,14,123,19,10,23.3,220,0,552,0,0,11,256,18.5,35,2,254,8,53,50.5,76.8,89.7,76.5,,87.9,63.6,60.0,78,0,18,1,1,502,392,43,1,124,8,944,420,2.53,5.7,18.0,0
Shadrach Thornton,18797,HB,NC STATE,13,164,31,10,32.2,289,0,897,1,4,31,471,56.2,20,2,248,4,15,52.8,76.9,87.7,76.6,42.5,67.1,75.9,63.9,58,0,133,15,100,205,0,0,18,179,9,897,471,2.87,5.5,1.33,0
Wayne Gallman,11895,HB,CLEMSON,13,161,30,12,35.2,271,0,769,2,5,30,406,47.7,19,1,140,0,62,90.4,70.2,85.5,,57.2,60.0,73.6,39.0,34,0,108,24,159,210,0,0,29,185,4,769,406,2.52,4.8,0.68,0
