player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Freddie Martino,9292,WR,TB,7,11.0,2,83.3,50.0,1,2,0,0.0,0,4,30,0,73.4,68.0,76.5,,76.6,0.0,0,0,39,0.0,0,29,0,5,96.6,28,6.9,2,118.8,6,0,93.1,27,96,35,7.0,19.2,3.43
Chris Matthews,6820,WR,BLT,5,9.5,0,50.0,0.0,0,1,0,25.0,1,2,3,0,36.8,65.8,54.0,,53.8,0.0,0,0,12,0.0,0,33,0,3,97.0,32,30.3,10,61.1,6,0,69.7,23,25,5,1.7,8.3,0.78
Chris Thompson,12330,WR,HST,7,8.7,0,83.3,100.0,1,1,0,16.7,1,5,13,0,45.8,29.2,62.3,,63.5,0.0,0,0,32,0.0,0,67,0,5,91.0,61,14.9,10,118.8,6,0,85.1,57,84,35,7.0,16.8,1.38
Fozzy Whittaker,8547,HB,CAR,9,-1.2,0,83.3,,0,0,0,0.0,0,1,5,0,73.4,76.8,62.6,77.2,64.8,0.0,0,0,28,11.5,3,26,0,5,80.8,21,15.4,4,138.9,6,1,11.5,3,47,60,12.0,9.4,2.24
Derrick Coleman,7377,FB,ATL,16,3.0,0,33.3,,0,0,0,33.3,1,1,2,0,30.0,67.8,45.0,53.3,45.4,0.0,0,0,11,32.6,28,86,1,2,61.6,53,3.5,3,43.8,6,0,9.3,8,20,17,8.5,10.0,0.38
Trevor Davis,10797,WR,GB,12,11.2,1,83.3,100.0,1,1,1,0.0,0,2,12,0,74.6,88.3,59.0,,58.6,0.0,0,0,29,0.0,0,76,1,5,93.4,71,15.8,12,115.3,6,0,82.9,63,70,34,6.8,14.0,0.99
Eddie Lacy,7842,HB,SEA,9,-1.2,0,100.0,,0,0,0,0.0,0,2,29,0,74.6,85.2,62.6,70.0,68.7,0.0,0,0,14,25.0,16,64,0,6,73.4,47,0.0,0,99.3,6,0,0.0,0,47,54,9.0,7.8,1.0
Chris Johnson,4338,HB,ARZ,4,3.2,0,83.3,0.0,0,1,0,0.0,0,2,1,0,73.4,82.8,58.4,35.4,61.4,0.0,0,0,15,16.4,9,55,0,5,80.0,44,1.8,1,96.5,6,0,7.3,4,43,30,6.0,8.6,0.98
Maurice Harris,11035,WR,WAS,6,12.5,0,66.7,100.0,1,1,0,0.0,0,3,32,0,72.1,71.3,71.0,,70.8,2.2,1,0,36,0.0,0,46,0,4,91.3,42,32.6,15,140.3,6,1,65.2,30,62,7,1.8,15.5,1.48
Andy Janovich,10810,FB,DEN,16,4.0,0,66.7,,0,0,1,0.0,0,2,10,0,73.4,73.6,63.8,57.8,71.0,9.3,4,0,16,30.2,13,43,2,4,67.4,29,4.7,2,81.9,6,0,0.0,0,35,26,6.5,8.8,1.21
Bobby Rainey Jr.,7511,HB,BLT,4,-2.5,0,83.3,0.0,0,1,0,0.0,0,1,3,0,74.6,78.5,65.8,77.9,72.4,0.0,0,0,12,10.7,3,28,0,5,85.7,24,3.6,1,79.2,6,0,3.6,1,18,34,6.8,3.6,0.75
Matt Dayes,12006,HB,CLV,6,1.4,0,80.0,,0,0,0,0.0,0,1,8,0,72.1,80.6,59.8,48.5,59.9,0.0,0,0,15,22.9,8,35,0,4,71.4,25,2.9,1,90.8,5,0,2.9,1,29,22,5.5,7.3,1.16
