player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Brian Cobbs,84285,WR,MARYLAND,5,13.0,2,56.5,55.6,5,9,0,7.1,1,7,215,0,69.9,69.2,59.4,62.1,57.5,0.0,0,2,52,0.6,1,167,0,13,92.2,154,98.8,165,61.5,23,1,1.2,2,188,66,5.1,14.5,1.22
Johnny Johnson III,61588,WR,OREGON,5,12.1,1,60.9,50.0,3,6,0,6.7,1,9,264,1,69.0,22.8,58.2,,58.0,0.6,1,1,39,0.0,0,160,2,14,95.6,153,31.3,50,100.5,23,2,68.1,109,203,49,3.5,14.5,1.33
Dontae Fleming,122634,WR,LA LAFAYET,9,15.7,2,56.5,66.7,2,3,0,13.3,2,7,207,0,55.7,74.1,61.4,,62.8,0.0,0,0,52,0.0,0,103,0,13,97.1,100,35.9,37,99.5,23,1,62.1,64,198,118,9.1,15.2,1.98
Miles Reed,52077,HB,HAWAII,8,2.5,8,72.7,,0,0,0,5.9,1,6,180,0,70.9,70.7,62.2,35.9,56.6,0.8,2,1,35,26.7,71,266,0,16,69.5,185,7.9,21,67.0,22,0,0.0,0,123,123,7.7,7.7,0.66
Jashaun Corbin,83773,HB,FLORIDA ST,9,1.4,4,86.4,0.0,0,1,0,5.0,1,6,167,0,73.8,71.2,67.9,38.8,59.3,0.0,0,1,18,25.8,47,182,1,19,72.5,132,13.2,24,69.5,22,0,2.2,4,115,122,6.4,6.1,0.87
Tyler Goodson,101659,HB,IOWA,8,-1.3,0,72.7,,0,0,0,11.1,2,3,192,0,60.0,79.6,75.8,28.8,60.0,0.0,0,0,40,25.2,52,206,0,16,72.3,149,6.8,14,90.3,22,0,6.8,14,146,178,11.1,9.1,0.98
Jontre Kirklin,55630,WR,LSU,10,10.5,3,59.1,0.0,0,2,0,27.8,5,10,211,1,25.6,22.8,56.5,,56.0,0.0,0,0,29,0.0,0,200,0,13,97.0,194,24.0,48,125.8,22,3,76.0,152,184,81,6.2,14.2,0.95
Allen Dailey Jr.,84245,WR,KENTUCKY,10,7.1,2,59.1,33.3,1,3,0,7.1,1,8,202,0,69.9,69.2,61.3,,58.6,0.0,0,0,40,0.0,0,194,2,13,92.3,179,13.9,27,89.6,22,1,85.6,166,122,57,4.4,9.4,0.68
Kobe Lewis,77800,HB,C MICHIGAN,6,0.5,3,77.3,,0,0,1,5.6,1,5,134,0,71.9,87.9,80.0,55.7,72.2,1.7,2,0,18,20.2,24,119,3,17,79.0,94,3.4,4,101.7,22,1,7.6,9,106,92,5.4,6.2,1.13
Bryson Smith,60395,WR,HOUSTON,7,7.2,3,72.7,50.0,2,4,0,5.9,1,9,182,0,70.9,72.8,67.5,,69.0,0.0,0,0,34,0.0,0,87,0,16,98.9,86,89.7,78,125.8,22,2,8.0,7,173,101,6.3,10.8,2.01
