Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Mike Iupati,Idaho,College Stats,6-5,1.3119837255084263,-0.30876925251568266,-0.026322533170844962,0.2611481757943359,-1.3083418158992546,-0.20926726918038277,0.6736954333540832
Mike Johnson,Alabama,College Stats,6-5,-0.20645429183127345,0.39376605609688636,-0.8206989806481306,,-1.4562452110709259,0.7006760565733654,1.053158647740543
Shawn Lauvao,Arizona State,College Stats,6-3,0.03329907932762651,-0.4168516076868497,-0.34407311216175923,1.3661812864699316,0.022788740645786856,-1.0888791507423374,-1.3184864421748281
Marshall Newhouse,TCU,College Stats,6-4,0.35297024087282647,-1.6597986921552397,-0.8206989806481306,-0.10719619443086267,-0.5688248400408983,-1.5741822578109996,-0.8915903259900619
Alex Parsons,USC,College Stats,6-4,-0.4462076629901734,-0.9572633835426706,-0.18519782266630208,-0.47554056465606126,-0.2730180496975557,,
Mitch Petrus,Arkansas,College Stats,6-3,-0.3662898726038734,0.2316425233401382,,3.5762475078211233,,,
Dace Richardson,Iowa,,6-5,0.43288803125912645,2.5013719819345934,-1.297324849134502,-1.2122293051064585,-2.047858791757611,2.0049281568204007,2.808176014277918
Chris Scott,Tennessee,,6-5,0.35297024087282647,1.2043837198806175,-1.6150754281254163,-1.2122293051064585,-1.6041486062425971,0.9736590542994887,1.14802445133716
Shelley Smith,Colorado State,,6-3,-1.1654677764668733,-1.4436339818129102,2.0390562302700976,0.07697599068173662,1.6497260875341708,-0.7552332646326295,-0.36982840620867885
Mike Tepper,California,,6-5,0.7525591928043264,0.06951899058339002,-0.34407311216175923,0.4453203609069352,-1.012535025555912,0.09404717273753418,2.191548290899922
Adam Ulatoski,Texas,,6-5,-1.1654677764668733,1.2043837198806175,-0.5029484016572163,-0.291368379543462,-1.012535025555912,0.18504150531290955,0.9582928441439301
David Arkin,Missouri State,,6-5,-1.1654677764668733,0.06951899058339002,0.4503033353155264,-0.10719619443086267,0.3185955309891294,-0.9675533739751712,-0.7492916205951385
Clint Boling,Georgia,College Stats,6-5,-0.5261254533764734,-0.09260454217335334,1.085804493297355,0.4453203609069352,0.17069213581745812,-0.7855647088244204,-0.7018587187968321
Justin Boren,Ohio State,,6-3,-0.4462076629901734,0.5558895888536346,,0.4453203609069352,,-1.0585477065505438,-0.180096799015449
Garrett Chisolm,South Carolina,,6-5,-0.20645429183127345,0.33972487851130523,,,,,
Ray Dominguez,Arkansas,College Stats,6-4,1.5517370966673263,0.8260954767815449,-0.026322533170844962,-0.8438849348812599,-1.6041486062425971,-0.5429131552900879,0.531396727959164
Ricky Henry,Nebraska,College Stats,6-3,-0.5261254533764734,2.069042561249935,-1.138449559639045,-1.0280571199938593,-1.6041486062425971,0.18504150531290955,-0.5121271116036022
Zach Hurd,Connecticut,,6-7,0.1132168697139265,-0.09260454217335334,0.13255275632461216,,0.022788740645786856,-0.5732445994818788,-0.08523099541883618
Maurice Hurt,Florida,,6-3,0.2730524504865265,0.5018484112680486,,-1.3964014902190578,,,
Ben Ijalana,Villanova,,6-4,0.19313466010022648,-0.524933962858012,,,,,
Andrew Jackson,Fresno State,College Stats,6-5,-1.2453855668531733,-0.14664571975893928,0.13255275632461216,-0.10719619443086267,-0.42092144486922695,-1.1192105949341282,-0.6544258169985215
Carl Johnson,Florida,,6-5,3.7095174370974258,0.5558895888536346,-0.6618236911526735,-0.10719619443086267,-0.7167282352125696,,1.14802445133716
Daniel Kilgore,Appalachian State,,6-3,-0.5261254533764734,-0.09260454217335334,1.5624303617837263,-0.47554056465606126,0.614402321332472,-0.9978848181669621,-0.5121271116036022
John Moffitt,Wisconsin,,6-4,0.35297024087282647,1.1503425422950366,0.9269292038018978,-0.47554056465606126,0.17069213581745812,-0.3912559343311308,-1.2236206385782111
Mike Person,Montana State,,6-4,-1.2453855668531733,-1.227469271470581,0.13255275632461216,-0.8438849348812599,1.0581125068474857,-1.4528564810438334,-1.3659193439731345
Mike Pouncey,Florida,College Stats,6-5,-0.9257144053079733,-0.9572633835426706,-0.8206989806481306,,-0.7167282352125696,-0.7855647088244204,-0.7018587187968321
Will Rackley,Lehigh,,6-3,-0.4462076629901734,0.5018484112680486,-1.297324849134502,0.6294925460195345,-0.2730180496975557,-0.02727860402963206,0.7211283351523938
Steve Schilling,Michigan,,6-4,-0.5261254533764734,-0.633016318029179,-0.6618236911526735,0.8136647311321338,-0.42092144486922695,-0.5732445994818788,-0.7967245223934449
Caleb Schlauderaff,Utah,,6-4,-0.7658788245353734,-0.633016318029179,,,,,
Isaiah Thompson,Houston,College Stats,6-3,-1.1654677764668733,3.798360243988569,-0.8206989806481306,-0.47554056465606126,-2.787375767615967,3.400174589642808,3.6619682466474504
Julian Vandervelde,Iowa,College Stats,6-2,-1.0855499860805733,-0.9572633835426706,1.085804493297355,-0.47554056465606126,0.4664989261608007,-1.3921935926602516,-0.9390232277883684
Danny Watkins,Baylor,College Stats,6-3,-0.3662898726038734,0.33972487851130523,-0.5029484016572163,0.6294925460195345,-1.3083418158992546,-0.9372219297833776,-0.7967245223934449
Keith Williams,Nebraska,College Stats,6-4,0.2730524504865265,-0.09260454217335334,-0.9795742701435878,-0.47554056465606126,-1.1604384207275833,1.5196250497517356,1.14802445133716
Mark Asper,Oregon,College Stats,6-6,0.35297024087282647,0.12356016816897596,,-0.47554056465606126,,,
Kelvin Beachum,SMU,,6-3,-0.9257144053079733,0.4478072336824675,0.2914280458200693,-1.2122293051064585,0.022788740645786856,-0.3912559343311308,0.05706770997608727
James Brown,Troy,College Stats,6-3,-0.6859610341490734,-0.5789751404435931,-0.6618236911526735,-0.291368379543462,0.17069213581745812,-0.6642389320572542,-0.03779809362052555
David DeCastro,Stanford,College Stats,6-5,0.1132168697139265,0.12356016816897596,0.6091786248109835,1.5503534715825311,-0.42092144486922695,-1.8774966997289166,-1.0813219331832917
Adam Gettis,Iowa,,6-2,-1.7248923091709731,-2.146169290425479,1.244679782792812,,1.6497260875341708,0.21537294950470043,-0.6544258169985215
Rishaw Johnson,California (PA),,6-3,-0.12653650144497347,-0.9572633835426706,1.244679782792812,-0.6597127497686606,1.0581125068474857,-0.1486043807967983,-1.2236206385782111
