Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Montrae Holland,Florida State,,6-1,333.0,5.3,,30.0,,8.46,5.13
Alex Jackson,Georgia,,6-4,356.0,5.4,,,,,
Jason Jowers,Wisconsin,,6-6,319.0,5.44,29.5,,101.0,8.32,4.86
Josh Kayser,Augustana (SD),,6-3,312.0,5.73,26.0,21.0,95.0,8.57,5.09
Sean Mahan,Notre Dame,,6-3,301.0,5.14,30.0,30.0,105.0,7.75,4.77
Vince Manuwai,Hawaii,,6-2,304.0,5.06,29.5,27.0,107.0,7.59,4.4
Justin Sands,Kansas,,6-7,324.0,5.05,32.0,31.0,105.0,,
Greg Schindler,Stanford,,6-5,307.0,5.09,30.5,18.0,94.0,8.56,5.13
Chad Setterstrom,New Mexico,,6-3,309.0,5.44,28.5,16.0,99.0,7.93,4.66
Ben Sobieski,Iowa,,6-5,307.0,5.0,30.0,18.0,109.0,7.7,4.49
Jamil Soriano,Harvard,,6-4,317.0,5.48,27.5,,103.0,8.54,5.08
Eric Steinbach,Iowa,College Stats,6-6,297.0,4.96,36.0,,119.0,7.36,4.42
Scott Tercero,California,,6-4,303.0,5.23,28.5,25.0,103.0,7.81,4.51
Tony Terrell,UNLV,,6-3,334.0,5.48,25.5,25.0,94.0,8.62,5.0
Torrin Tucker,Southern Miss,,6-6,328.0,5.35,30.0,,103.0,8.39,4.97
Taylor Whitley,Texas A&M,,6-4,321.0,5.18,30.0,28.0,106.0,7.95,4.58
Jacob Bell,Miami (OH),,6-5,302.0,5.22,,26.0,,,
Vernon Carey,Miami (FL),,6-4,335.0,5.33,,30.0,,,
Quinn Christensen,BYU,,6-6,312.0,5.1,,32.0,,,
Tyson Clabo,Wake Forest,,6-7,315.0,5.51,30.0,24.0,100.0,8.09,4.88
Adrien Clarke,Ohio State,,6-5,329.0,5.52,26.0,,102.0,7.9,4.74
Regis Crawford,Arizona State,,6-2,316.0,6.05,,,,8.03,4.86
Trey Darilek,Texas-El Paso,,6-4,301.0,5.23,28.5,22.0,110.0,7.85,4.61
Khiawatha Downey,Indiana (PA),,6-4,332.0,5.5,26.5,21.0,98.0,8.01,4.82
Antonio Hall,Kentucky,,6-3,317.0,5.54,26.5,27.0,101.0,8.12,4.55
Joseph Hayes,San Jose State,,6-4,311.0,5.67,23.0,18.0,94.0,8.25,5.12
Anthony Herrera,Tennessee,,6-2,315.0,5.2,,,,,
Sean Locklear,North Carolina State,College Stats,6-4,308.0,5.16,29.0,27.0,100.0,7.85,4.56
Stephen Peterman,LSU,College Stats,6-4,312.0,5.46,24.5,23.0,95.0,7.87,4.68
Alan Reuber,Texas A&M,,6-6,323.0,5.49,29.0,26.0,98.0,7.95,4.91
Justin Smiley,Alabama,,6-3,298.0,5.07,32.0,19.0,111.0,7.72,4.41
Chris Snee,Boston Col.,,6-3,314.0,5.1,30.5,29.0,104.0,7.75,4.66
Shannon Snell,Florida,,6-4,316.0,5.82,25.5,21.0,93.0,8.38,4.91
Jeb Terry,North Carolina,,6-5,313.0,5.2,29.0,27.0,105.0,8.03,4.98
David Baas,Michigan,College Stats,6-4,319.0,5.06,29.5,29.0,105.0,7.5,4.46
C.J. Brooks,Maryland,,6-5,309.0,5.18,31.5,24.0,108.0,7.61,4.56
Elton Brown,Virginia,College Stats,6-5,329.0,4.93,,,,,
Doug Buckles,Mississippi,,6-5,311.0,5.53,23.5,18.0,89.0,8.17,4.8
Dan Buenning,Wisconsin,,6-4,320.0,5.35,28.0,29.0,111.0,7.9,4.59
Jonathan Clinkscale,Wisconsin,,6-2,315.0,5.51,27.5,,99.0,,
Dylan Gandy,Texas Tech,,6-3,304.0,5.12,29.5,,100.0,7.62,4.51
Marcus Johnson,Mississippi,,6-6,321.0,5.45,27.5,21.0,104.0,7.71,4.71
Chris Kemoeatu,Utah,,6-3,344.0,5.34,29.0,26.0,98.0,7.75,4.54
Logan Mankins,Fresno State,,6-4,307.0,5.06,31.5,21.0,95.0,7.52,4.44
Evan Mathis,Alabama,,6-5,304.0,4.92,35.5,35.0,117.0,7.37,4.16
Chris Myers,Miami (FL),,6-5,300.0,5.11,,25.0,,,
Doug Nienhuis,Oregon State,,6-6,307.0,5.15,29.5,22.0,99.0,7.5,4.47
Leon Robinson,Georgia Tech,,6-4,314.0,5.22,36.0,22.0,109.0,8.27,4.76
Adam Snyder,Oregon,,6-5,316.0,5.34,28.5,21.0,93.0,7.83,4.83
Nick Steitz,Oregon,,6-3,312.0,5.7,31.0,,99.0,8.16,4.65
Claude Terrell,New Mexico,,6-2,343.0,5.42,24.5,27.0,89.0,8.17,4.75
Scott Young,BYU,,6-4,312.0,5.08,35.0,43.0,115.0,7.46,4.37
Max Jean-Gilles,Georgia,College Stats,6-4,355.0,5.48,24.5,27.0,95.0,8.56,5.08
Davin Joseph,Oklahoma,College Stats,6-3,311.0,5.09,32.0,24.0,111.0,,4.97
Chris Kuper,North Dakota,,6-4,301.0,5.1,30.0,24.0,109.0,7.59,4.6
Deuce Lutui,USC,,6-4,334.0,5.35,28.0,26.0,97.0,8.04,4.76
Fred Matua,USC,,6-2,306.0,5.0,24.5,28.0,93.0,7.87,4.76
Robin Meadow,Michigan State,,6-5,324.0,5.4,24.0,29.0,99.0,7.94,4.73
Troy Reddick,Auburn,,6-5,334.0,5.57,,21.0,,7.92,4.82
Mark Setterstrom,Minnesota,,6-4,314.0,5.38,26.5,19.0,100.0,7.63,4.53
Rob Sims,Ohio State,,6-3,307.0,5.25,,27.0,,,
Isaac Sowells,Indiana,,6-3,324.0,5.15,28.5,20.0,101.0,8.13,4.98
Charles Spencer,Pittsburgh,,6-5,352.0,5.25,,30.0,,,
Jason Spitz,Louisville,College Stats,6-3,313.0,5.4,28.5,25.0,102.0,7.82,4.55
Adam Stenavich,Michigan,,6-4,310.0,5.6,,24.0,,,
Dan Stevenson,Notre Dame,,6-5,300.0,5.36,24.5,24.0,100.0,7.58,4.59
Tony Tella,Miami (FL),,6-4,307.0,5.44,24.5,24.0,97.0,8.17,4.84
Andy Alleman,Akron,,6-4,305.0,5.07,30.0,27.0,106.0,7.8,4.65
Josh Beekman,Boston Col.,College Stats,6-2,313.0,5.36,25.5,24.0,93.0,8.24,4.81
Nate Bennett,Michigan State,,6-4,316.0,5.47,26.5,34.0,90.0,8.15,5.04
Stephen Berg,Arizona State,,6-5,330.0,5.38,,19.0,,,
Justin Blalock,Texas,College Stats,6-3,320.0,5.1,28.5,40.0,101.0,7.75,4.72
Tim Duckworth,Auburn,,6-3,306.0,5.42,25.0,20.0,94.0,8.26,4.78
Ben Grubbs,Auburn,College Stats,6-3,311.0,5.18,26.5,29.0,103.0,7.99,4.72
Mike Jones,Iowa,College Stats,6-5,309.0,5.46,25.5,28.0,98.0,7.8,4.88
Uche Nwaneri,Purdue,,6-3,325.0,5.37,,24.0,,,
Manny Ramirez,Texas Tech,College Stats,6-3,326.0,5.24,,40.0,,,
Dan Santucci,Notre Dame,College Stats,6-3,301.0,5.13,29.0,23.0,102.0,7.47,4.74
Arron Sears,Tennessee,College Stats,6-3,319.0,5.09,,21.0,,,
Cameron Stephenson,Rutgers,,6-3,306.0,5.4,28.5,34.0,101.0,7.72,4.81
Kasey Studdard,Texas,,6-2,303.0,5.18,,32.0,,,
Palauni Ma Sun,Oregon,,6-5,319.0,5.86,24.5,22.0,91.0,8.7,5.01
Mansfield Wrotto,Georgia Tech,College Stats,6-3,317.0,5.4,,27.0,92.0,8.34,4.92
Branden Albert,Virginia,College Stats,6-6,309.0,5.17,26.0,23.0,111.0,7.97,4.78
James Blair,West. Michigan,,6-3,323.0,5.28,23.5,28.0,103.0,8.44,5.33
Andrew Crummey,Maryland,,6-5,299.0,5.32,,,,,
Robert Felton,Arkansas,,6-4,315.0,5.51,23.0,22.0,98.0,8.08,4.84
Mike Gibson,California,,6-3,305.0,5.27,27.0,31.0,110.0,7.21,4.64
Chris McDuffie,Clemson,,6-4,330.0,5.3,,29.0,,,
Mike McGlynn,Pittsburgh,,6-4,311.0,5.38,23.0,30.0,101.0,7.58,4.72
Shawn Murphy,Utah State,College Stats,6-4,320.0,5.38,21.5,29.0,100.0,7.74,4.89
Chilo Rachal,USC,,6-5,315.0,5.16,25.5,28.0,108.0,8.01,5.14
Drew Radovich,USC,College Stats,6-4,301.0,5.33,23.0,21.0,108.0,7.47,4.53
Chad Rinehart,New Mexico,,6-5,320.0,5.42,28.5,26.0,106.0,7.84,4.56
Roy Schuening,Oregon State,College Stats,6-4,306.0,5.29,25.0,26.0,,,
Donald Thomas,Connecticut,College Stats,6-3,303.0,5.0,24.5,28.0,100.0,7.45,4.78
