player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Vince Manuwai,1387,12,100.0,0,15,75.7,65.0,72.4,5,15,400,100.0,100.0,97.2,1,21,1,795,0,795,0,795,423,423,0,0,372,0
Robert Gallery,1723,12,99.9,1,23,68.5,60.7,71.3,5,12,393,99.7,99.8,96.8,6,21,4,770,0,771,0,771,427,428,0,0,343,0
Stacy Andrews,1844,12,100.0,0,29,59.4,72.4,56.6,3,16,463,100.0,100.0,97.9,7,19,0,763,0,0,0,763,482,482,763,0,281,0
Chilo Rachal,4353,15,100.0,0,28,87.9,67.2,90.8,0,15,438,100.0,100.0,97.1,2,20,5,761,0,0,0,761,463,463,761,0,298,0
Mackenzy Bernadeau,4564,13,100.0,1,5,66.8,54.0,72.1,4,14,409,100.0,100.0,96.6,5,23,5,753,0,451,0,753,425,425,302,0,328,0
Steve Hutchinson,787,11,100.0,0,18,75.3,76.8,71.0,2,10,382,100.0,100.0,97.9,1,14,2,715,0,715,0,715,409,409,0,0,306,0
Ted Larsen,5728,12,100.0,0,30,62.4,54.6,68.7,3,19,355,100.0,100.0,96.3,7,24,2,634,6,627,0,634,371,371,1,0,263,0
Davin Joseph,2968,11,100.0,0,30,50.8,56.5,50.4,4,20,358,100.0,100.0,96.1,5,26,2,633,0,0,0,633,375,375,633,0,258,0
John Jerry,5598,11,100.0,0,17,67.3,73.3,61.5,3,13,360,100.0,100.0,97.5,3,17,1,624,0,0,0,624,374,374,624,0,250,0
Pat McQuistan,3156,13,100.0,0,17,58.0,56.0,62.0,3,17,366,100.0,100.0,96.7,7,22,2,621,0,97,10,621,379,379,432,82,242,0
Logan Mankins,2249,10,100.0,0,19,91.4,78.6,91.5,0,6,331,100.0,100.0,98.5,4,8,2,610,0,608,0,610,348,348,2,0,262,0
Anthony Herrera,2066,10,100.0,0,18,83.6,59.2,87.8,4,11,319,100.0,100.0,96.7,1,18,3,599,0,0,0,599,345,345,599,0,254,0
Tyronne Green,5057,12,100.0,0,27,57.8,44.2,61.5,4,17,301,100.0,100.0,95.8,1,23,2,598,0,63,8,598,316,316,525,0,282,2
Max Jean-Gilles,3044,11,100.0,0,24,67.5,63.7,65.0,2,17,346,100.0,100.0,97.3,2,19,0,582,0,0,0,582,369,369,582,0,213,0
Mike Gibson,4498,12,100.0,0,29,71.5,67.8,68.4,4,10,350,100.0,100.0,97.1,1,17,3,576,2,256,0,576,371,371,317,0,205,0
Nick Cole,3567,13,100.0,0,24,62.6,45.4,74.0,3,18,356,100.0,100.0,95.1,3,28,7,556,14,19,0,556,373,373,523,0,183,0
Antoine Caldwell,5000,12,100.0,0,13,75.8,69.3,73.9,2,10,327,100.0,100.0,97.6,0,14,2,555,0,0,0,555,348,348,555,0,207,0
Artis Hicks,1254,11,100.0,0,32,58.8,60.1,65.5,4,15,345,100.0,100.0,96.7,6,21,2,547,0,0,0,547,366,366,540,7,181,0
Travelle Wharton,1815,9,100.0,0,5,64.8,78.1,59.2,3,5,314,100.0,100.0,98.4,3,9,1,538,0,538,0,538,331,331,0,0,207,0
Ryan Cook,2996,14,100.0,0,18,67.3,64.4,69.7,1,9,295,100.0,100.0,97.3,3,13,3,535,91,0,0,535,309,309,431,7,226,6
Louis Vasquez,5001,10,100.0,0,27,75.2,68.0,73.4,1,8,315,100.0,100.0,97.3,0,13,4,534,0,0,0,534,323,323,534,0,211,0
Will Montgomery,3179,11,100.0,0,32,68.6,76.4,66.5,1,8,324,100.0,100.0,98.3,3,10,1,509,75,1,0,509,342,342,433,0,167,0
Mike Brisiel,3250,11,100.0,0,13,86.9,76.2,88.8,1,7,280,100.0,100.0,98.2,2,9,1,502,0,0,0,502,297,297,502,0,205,0
Stephen Neal,972,8,100.0,0,19,75.4,71.7,73.4,1,10,269,100.0,100.0,97.6,1,12,1,492,0,0,0,492,283,283,492,0,209,0
Trai Essex,2310,15,99.8,0,25,56.1,58.0,62.0,1,15,237,99.6,99.6,95.8,6,18,2,440,0,15,29,441,252,253,298,81,188,18
Doug Legursky,4860,16,100.0,0,25,51.7,52.7,50.0,0,11,193,100.0,100.0,96.6,3,12,1,440,169,44,0,440,202,202,207,0,238,3
Ben Hamilton,864,7,100.0,0,29,66.1,65.2,65.5,0,7,216,100.0,100.0,97.0,3,10,3,376,0,376,0,376,222,222,0,0,154,0
Chester Pitts,1057,7,100.0,0,29,61.6,63.9,59.5,1,5,215,100.0,100.0,97.7,6,8,2,350,0,299,51,350,227,227,0,0,123,0
