player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Darrell Daniels,12122,FB,DET,3,86.4,0,11,69.9,46.4,73.7,0,0,2,40.0,40.0,100.0,0,0,0,19,0,0,0,22,2,5,0,0,17,6
Kyle Allen,26152,QB,BUF,4,72.0,0,4,63.8,,60.0,0,0,0,,,,0,0,0,18,0,0,0,25,0,0,0,0,18,0
Nick Saldiveri,81785,G,NO,3,100.0,0,20,52.1,32.2,59.9,0,1,12,100.0,100.0,95.8,0,1,0,18,0,0,0,18,14,14,14,0,4,4
Tucker Fisk,52286,TE,ATL,2,90.0,0,2,67.2,26.0,74.4,0,1,5,71.4,71.4,90.0,0,1,0,18,0,0,0,20,5,7,0,0,13,1
Aaron Jones,11937,HB,GB,5,12.2,0,12,62.7,35.4,58.2,1,0,6,7.5,8.2,91.7,0,1,0,18,0,0,0,147,7,85,0,0,11,4
Damien Harris,35134,HB,BUF,6,30.0,0,4,76.5,85.3,60.0,0,0,8,34.8,33.3,100.0,0,0,0,18,0,0,0,60,9,27,0,0,9,0
DeeJay Dallas,55632,HB,SEA,6,33.3,0,29,63.6,47.1,54.9,1,1,12,33.3,29.3,91.7,0,2,0,17,0,0,0,51,12,41,0,0,5,3
Carter O'Donnell,105607,G,ARZ,1,100.0,0,1,60.9,59.4,60.2,0,2,11,100.0,100.0,90.9,0,2,0,17,0,0,0,17,11,11,15,0,6,2
Mecole Hardman Jr.,42683,WR,KC,7,23.3,0,16,65.2,,62.7,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,73,0,55,0,0,17,0
Xavier Hutchinson,122518,WR,HST,6,28.8,0,13,52.2,,76.3,0,0,0,0.0,0.0,,1,0,0,17,0,0,0,59,0,39,0,0,17,0
Clayton Tune,77652,QB,ARZ,2,32.7,0,1,29.1,,60.0,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,52,0,35,0,0,17,0
Nate Adkins,87625,TE,DEN,6,50.0,0,10,62.8,68.7,54.5,0,0,2,11.1,10.5,100.0,0,0,0,17,0,0,0,34,2,19,0,0,15,18
Cooper Rush,12324,QB,DAL,4,51.5,0,9,50.4,,60.0,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,33,0,9,0,0,17,0
Velus Jones Jr.,40573,WR,CHI,7,42.5,0,6,49.3,,56.0,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,40,0,19,0,0,17,0
Prince Tega Wanogho,44820,T,KC,2,100.0,0,16,60.6,21.1,81.0,2,0,9,100.0,100.0,88.9,0,2,0,16,0,0,1,16,9,9,0,15,7,0
Jamison Crowder,9538,WR,WAS,4,23.2,0,32,83.5,,60.3,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,69,0,53,0,0,16,0
Cody Thompson,48152,WR,SEA,6,69.6,0,29,56.2,,60.9,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,23,0,7,0,0,16,2
Dalvin Cook,11796,HB,NYJ,8,14.5,0,22,57.4,84.7,60.0,0,0,11,19.0,20.6,100.0,0,0,0,16,0,0,0,110,13,63,0,0,3,4
Elijah Cooks,61501,WR,JAX,3,72.7,0,15,57.4,,61.5,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,22,0,6,0,0,16,0
Royce Freeman,45747,HB,LA,3,18.6,0,26,73.9,76.7,60.0,0,1,11,25.6,27.5,95.5,0,1,0,16,0,0,0,86,14,51,0,0,2,0
Pierre Strong Jr.,66619,HB,CLV,7,18.1,0,8,61.6,50.9,60.0,0,1,9,23.1,25.0,94.4,0,1,0,15,0,0,0,83,11,44,0,0,4,4
Matt Pryor,46647,T,SF,2,100.0,0,28,74.4,71.1,72.0,0,0,1,100.0,100.0,100.0,0,0,0,15,0,11,0,15,1,1,0,4,14,0
Kareem Hunt,11841,HB,CLV,6,12.1,0,8,75.3,65.0,60.0,0,0,6,11.1,14.3,100.0,0,0,0,15,0,0,0,124,8,56,0,0,7,5
Sean Rhyan,72009,G,GB,1,100.0,0,12,66.4,75.9,63.9,0,0,2,100.0,100.0,100.0,0,0,0,15,0,8,0,15,2,2,7,0,13,0
Greg Dortch,42237,WR,ARZ,5,33.3,0,1,51.8,,54.8,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,45,0,30,0,0,15,0
Jalen Brooks,111284,WR,DAL,2,70.0,0,9,56.1,,60.4,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,20,0,6,0,0,14,0
Salvon Ahmed,57472,HB,MIA,7,12.2,0,17,62.6,28.3,57.8,0,0,3,3.7,3.5,100.0,0,0,0,14,0,0,0,115,3,85,0,0,11,0
Kristian Wilkerson,28729,WR,LV,2,33.3,0,23,49.5,,55.6,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,42,0,28,0,0,14,0
